index,municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,ç
14,ANDRE DA ROCHA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ametista do Sul,4300646,-27.360700000000,-53.183000000000,7.484,7.296,7.288,7.345,7.383,7.464,7.423,7.476,7.432,7.526,7.592,7.670
15,ANTA GORDA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,André da Rocha,4300661,-28.628299999990,-51.579700000000,1.243,1.235,1.225,1.228,1.213,1.218,1.208,1.211,1.215,1.220,1.241,1.244
16,ANTONIO PRADO,0,0,0,3,0,0,0,0,7,0,2,1,0,0,1,Anta Gorda,4300703,-28.969799999990,-52.010199999990,6.189,6.086,6.185,6.239,6.273,6.323,6.433,6.558,6.614,6.677,6.787,6.785
17,ARAMBARE,0,0,0,5,1,1,0,1,4,0,3,1,0,0,0,Antônio Prado,4300802,-28.856500000000,-51.288300000000,13.080,12.982,12.873,12.800,12.781,12.899,13.013,12.969,12.878,12.873,13.188,13.462
18,ARARICA,1,1,0,6,0,0,0,0,9,0,1,0,0,0,1,Arambaré,4300851,-30.909300000000,-51.504600000000,3.770,3.768,3.781,3.868,3.847,3.858,3.857,3.905,3.877,3.880,3.880,3.920
19,ARATIBA,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,Araricá,4300877,-29.616800000000,-50.929099999990,4.969,4.990,5.178,5.309,5.472,5.542,5.663,5.701,5.811,5.935,6.039,6.189
20,ARROIO DO MEIO,0,0,0,9,0,0,2,0,12,0,1,2,0,0,0,Aratiba,4300901,-27.397800000000,-52.297499999990,6.688,6.841,6.824,6.832,6.658,6.657,6.536,6.526,6.507,6.677,6.659,6.764
21,ARROIO DO PADRE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Arroio do Meio,4301008,-29.401399999990,-51.955700000000,19.146,19.235,19.626,19.726,20.257,20.467,20.918,21.012,21.528,21.927,22.565,23.133
22,ARROIO DO SAL,0,0,0,40,0,4,1,0,17,0,5,8,0,0,0,Arroio do Padre,4301073,-31.431600000000,-52.417099999990,2.781,2.798,2.815,2.765,2.738,2.798,2.821,2.841,2.784,2.788,2.843,2.949
23,ARROIO DO TIGRE,0,0,0,4,0,1,0,0,4,0,0,2,0,0,0,Arroio do Sal,4301057,-29.543900000000,-49.889499999990,7.902,8.150,8.286,8.528,8.828,9.285,9.582,9.854,10.093,10.185,10.416,10.598
24,ARROIO DOS RATOS,0,0,0,7,0,0,0,0,7,0,4,1,0,0,0,Arroio do Tigre,4301206,-29.334800000000,-53.096600000000,12.914,12.834,12.810,12.560,12.523,12.711,12.967,13.134,13.068,12.998,12.744,12.704
25,ARROIO GRANDE,0,0,0,13,2,1,1,0,5,1,4,2,0,0,0,Arroio dos Ratos,4301107,-30.087500000000,-51.727499999990,13.891,13.849,13.703,13.803,13.869,14.085,14.148,14.183,14.201,14.260,14.489,14.616
26,ARVOREZINHA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Arroio Grande,4301305,-32.232700000000,-53.086199999990,18.860,18.671,18.616,18.440,18.237,18.193,18.114,18.132,18.013,17.798,17.519,17.369
27,AUGUSTO PESTANA,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,Arvorezinha,4301404,-28.873699999990,-52.178100000000,10.436,10.480,10.485,10.258,10.150,10.118,10.221,10.253,10.317,10.293,10.409,10.547
28,AUREA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,Augusto Pestana,4301503,-28.517299999990,-53.988300000000,7.226,7.080,6.900,6.935,7.031,7.211,7.249,7.333,7.462,7.490,7.507,7.490
29,BAGE,0,0,0,135,3,3,18,1,81,6,10,16,0,0,0,Áurea,4301552,-27.693600000000,-52.050500000000,3.738,3.752,3.707,3.756,3.775,3.774,3.728,3.645,3.676,3.707,3.730,3.723
30,BALNEARIO PINHAL,1,1,0,36,0,1,7,0,19,2,1,1,0,0,1,Bagé,4301602,-31.329699999990,-54.099899999990,119.252,119.469,119.816,119.444,118.983,118.682,119.056,119.539,120.104,121.069,121.233,121.321
31,BARAO,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,Balneário Pinhal,4301636,-30.241900000000,-50.233600000000,11.090,11.237,11.392,11.766,12.099,12.474,12.674,12.938,13.216,13.416,13.674,13.852
32,BARAO DE COTEGIPE,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,Barão,4301651,-29.372500000000,-51.494900000000,5.853,5.803,6.022,6.082,6.321,6.387,6.508,6.470,6.591,6.684,6.662,6.622
33,BARAO DO TRIUNFO,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,Barão de Cotegipe,4301701,-27.620799999990,-52.379800000000,6.658,6.608,6.684,6.688,6.753,6.752,6.924,6.922,6.916,6.808,6.773,6.839
34,BARRA DO GUARITA,0,0,0,2,0,1,0,0,2,3,0,0,0,0,0,Barão do Triunfo,4301750,-30.389099999990,-51.738399999990,7.173,7.168,7.134,7.082,7.070,6.975,6.977,7.007,7.019,6.836,6.647,6.554
35,BARRA DO QUARAI,0,0,0,1,0,0,0,0,6,0,4,1,0,0,0,Barra do Guarita,4301859,-27.192699999990,-53.710900000000,3.156,3.143,3.168,3.198,3.205,3.228,3.248,3.310,3.327,3.359,3.399,3.489
36,BARRA DO RIBEIRO,0,0,0,5,1,0,2,0,11,0,3,2,0,0,0,Barra do Quaraí,4301875,-30.202900000000,-57.549700000000,4.102,4.025,3.998,3.902,3.902,3.893,3.984,4.134,4.273,4.274,4.217,4.180
37,BARRA DO RIO AZUL,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,Barra do Ribeiro,4301909,-30.293900000000,-51.301400000000,12.838,12.850,12.863,12.992,12.924,13.089,13.179,13.456,13.442,13.435,13.212,13.260
38,BARRA FUNDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barra do Rio Azul,4301925,-27.406800000000,-52.408400000000,2.039,2.003,1.962,1.940,1.904,1.869,1.828,1.830,1.824,1.844,1.804,1.778
39,BARRACAO,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,Barra Funda,4301958,-27.920500000000,-53.039099999990,2.409,2.398,2.439,2.413,2.449,2.459,2.547,2.571,2.621,2.634,2.670,2.704
40,BARROS CASSAL,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,Barracão,4301800,-27.673900000000,-51.458599999990,5.466,5.432,5.353,5.264,5.141,5.174,5.097,5.092,5.013,5.121,5.066,5.089
41,BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Barros Cassal,4302006,-29.094700000000,-52.583599999990,11.379,11.229,11.165,11.046,10.919,10.865,10.681,10.624,10.542,10.494,10.512,10.455
42,BENTO GONCALVES,5,5,0,88,0,2,17,2,104,10,31,14,0,1,6,Benjamin Constant do Sul,4302055,-27.508600000000,-52.599499999990,2.358,2.377,2.333,2.331,2.321,2.349,2.350,2.331,2.271,2.192,2.182,2.203
43,BOA VISTA DAS MISSOES,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,Bento Gonçalves,4302105,-29.166200000000,-51.516500000000,109.383,111.300,113.296,112.667,115.606,118.255,119.723,120.961,121.826,124.516,126.919,130.149
44,BOA VISTA DO BURICA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Boa Vista das Missões,4302154,-27.667100000000,-53.310200000000,2.155,2.109,2.092,2.041,2.061,2.091,2.107,2.100,2.064,2.077,2.066,2.089
45,BOA VISTA DO CADEADO,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,Boa Vista do Buricá,4302204,-27.669300000000,-54.108199999990,6.702,6.722,6.702,6.700,6.706,6.723,6.782,6.927,7.118,7.218,7.304,7.331
46,BOA VISTA DO INCRA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Boa Vista do Cadeado,4302220,-28.571600000000,-53.813800000000,2.487,2.468,2.421,2.492,2.491,2.497,2.432,2.459,2.519,2.497,2.407,2.337
47,BOA VISTA DO SUL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Boa Vista do Incra,4302238,-28.809200000000,-53.387400000000,2.471,2.465,2.447,2.453,2.461,2.458,2.396,2.468,2.494,2.551,2.505,2.504
48,BOM JESUS,0,0,0,8,0,0,2,0,8,1,2,1,0,0,0,Boa Vista do Sul,4302253,-29.354399999990,-51.668700000000,2.824,2.896,2.938,3.001,2.987,2.993,3.015,2.956,3.014,3.088,3.139,3.165
49,BOM PRINCIPIO,0,0,0,7,1,1,0,0,7,0,7,1,0,0,0,Bom Jesus,4302303,-28.669699999990,-50.429499999990,11.775,11.724,11.667,11.466,11.300,11.194,11.244,11.371,11.501,11.525,11.605,11.695
50,BOM PROGRESSO,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,Bom Princípio,4302352,-29.485600000000,-51.354799999990,12.027,12.421,12.707,12.832,12.941,13.190,13.561,14.023,14.145,14.545,14.430,14.688
51,BOM RETIRO DO SUL,0,0,0,14,2,1,0,0,6,0,3,2,0,0,0,Bom Progresso,4302378,-27.539899999990,-53.871600000000,2.373,2.404,2.370,2.395,2.363,2.347,2.300,2.304,2.294,2.343,2.351,2.396
52,BOQUEIRAO DO LEAO,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Bom Retiro do Sul,4302402,-29.608599999990,-51.946399999990,11.704,12.010,12.061,12.185,12.128,12.295,12.420,12.630,12.739,12.939,13.171,13.344
53,BOSSOROCA,0,0,0,2,1,0,0,0,3,2,1,2,0,0,0,Boqueirão do Leão,4302451,-29.304600000000,-52.428400000000,7.836,7.795,7.653,7.616,7.546,7.573,7.438,7.336,7.268,7.411,7.459,7.467
54,BOZANO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bossoroca,4302501,-28.729099999990,-54.903500000000,7.026,6.994,6.807,6.641,6.435,6.340,6.371,6.373,6.375,6.339,6.315,6.250
55,BRAGA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Bozano,4302584,-28.367460000000,-53.772239999990,2.244,2.224,2.188,2.216,2.215,2.256,2.285,2.311,2.341,2.344,2.331,2.313
56,BROCHIER,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,Braga,4302600,-27.617300000000,-53.740499999990,3.784,3.756,3.717,3.704,3.663,3.714,3.666,3.723,3.731,3.758,3.719,3.725
57,BUTIA,1,1,0,13,0,0,1,0,13,2,5,3,0,0,1,Brochier,4302659,-29.550100000000,-51.594499999990,4.765,4.697,4.729,4.669,4.806,4.814,4.912,4.985,5.087,5.169,5.130,5.349
58,CACAPAVA DO SUL,0,0,0,14,3,0,3,0,27,3,8,3,0,0,0,Butiá,4302709,-30.117899999990,-51.960099999990,20.842,20.770,20.552,20.463,20.886,21.214,21.436,21.172,21.137,20.960,20.909,20.842
59,CACEQUI,0,0,0,22,7,0,1,0,3,0,1,0,0,0,0,Caçapava do Sul,4302808,-30.514399999990,-53.482700000000,34.374,34.072,33.881,33.975,34.137,34.147,33.839,33.583,33.812,33.959,34.270,34.460
60,CACHOEIRA DO SUL,1,1,0,89,0,9,14,0,31,4,5,16,0,0,1,Cacequi,4302907,-29.888300000000,-54.822000000000,13.964,13.789,13.506,13.368,12.998,12.916,12.807,12.756,12.493,12.433,12.462,12.694
61,CACHOEIRINHA,1,1,0,106,0,13,61,3,119,2,8,6,0,0,1,Cachoeira do Sul,4303004,-30.033000000000,-52.892800000000,85.544,85.401,85.021,84.353,83.743,83.808,83.967,84.009,83.590,83.695,84.499,84.861
62,CACIQUE DOBLE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Cachoeirinha,4303103,-29.947199999990,-51.101599999990,120.760,121.923,124.120,126.429,129.708,131.199,132.900,133.132,133.657,133.857,135.503,136.683
63,CAIBATE,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,Cacique Doble,4303202,-27.766999999990,-51.659700000000,4.970,4.980,5.042,5.101,5.193,5.257,5.232,5.154,5.094,5.113,5.103,5.087
64,CAICARA,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,Caibaté,4303301,-28.290500000000,-54.645400000000,5.053,5.216,5.190,5.320,5.258,5.241,5.065,5.076,5.081,5.112,4.986,5.018
65,CAMAQUA,1,1,0,67,2,4,3,1,27,0,16,7,0,0,1,Caiçara,4303400,-27.279100000000,-53.425699999990,5.172,5.134,5.113,5.016,4.958,4.860,4.731,4.855,4.872,4.959,4.932,4.886
66,CAMARGO,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,Camaquã,4303509,-30.848900000000,-51.804299999990,64.076,63.950,64.324,64.448,64.831,65.502,65.723,65.293,65.268,65.826,66.521,66.321
67,CAMBARA DO SUL,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,Camargo,4303558,-28.588000000000,-52.200299999990,2.644,2.615,2.564,2.656,2.730,2.780,2.773,2.836,2.899,2.978,2.996,2.989
68,CAMPESTRE DA SERRA,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,Cambará do Sul,4303608,-29.047400000000,-50.146500000000,6.686,6.445,6.290,6.225,6.356,6.401,6.415,6.295,6.292,6.307,6.423,6.374
69,CAMPINA DAS MISSOES,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,Campestre da Serra,4303673,-28.792600000000,-51.094099999990,3.311,3.224,3.234,3.331,3.367,3.339,3.292,3.292,3.310,3.291,3.267,3.247
70,CAMPINAS DO SUL,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,Campina das Missões,4303707,-27.988800000000,-54.841700000000,6.232,6.119,6.114,6.326,6.254,6.221,6.149,6.169,6.181,6.110,6.199,6.207
71,CAMPO BOM,0,0,0,81,0,10,10,3,37,0,7,3,0,0,0,Campinas do Sul,4303806,-27.717400000000,-52.624800000000,5.613,5.569,5.655,5.655,5.659,5.692,5.729,5.818,5.852,5.908,5.873,5.855
72,CAMPO NOVO,0,0,0,11,0,1,0,0,1,1,1,0,0,0,0,Campo Bom,4303905,-29.674700000000,-51.060600000000,61.314,60.946,61.476,61.702,62.410,63.058,63.774,64.622,65.218,65.833,66.459,66.930
73,CAMPOS BORGES,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,Campo Novo,4304002,-27.679200000000,-53.805199999990,5.572,5.495,5.422,5.285,5.304,5.231,5.207,5.185,5.207,5.165,5.110,5.085
74,CANDELARIA,2,2,0,26,4,0,0,0,14,1,8,2,0,0,2,Campos Borges,4304101,-28.887100000000,-53.000799999990,3.570,3.534,3.584,3.600,3.596,3.617,3.661,3.763,3.774,3.753,3.689,3.715
75,CANDIDO GODOI,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,Candelária,4304200,-29.668399999990,-52.789499999990,30.791,30.681,30.566,30.567,30.447,30.516,30.690,30.643,30.649,30.430,30.397,30.186
76,CANDIOTA,0,0,0,11,3,1,0,0,6,0,0,0,0,0,0,Cândido Godói,4304309,-27.951499999990,-54.751700000000,6.664,6.539,6.388,6.328,6.311,6.527,6.563,6.655,6.587,6.728,6.684,6.725
77,CANELA,1,1,0,53,0,2,1,0,44,1,20,16,0,0,1,Candiota,4304358,-31.551500000000,-53.677300000000,8.968,8.967,8.969,8.989,9.074,9.103,9.186,9.290,9.450,9.440,9.430,9.435
78,CANGUCU,0,0,0,22,1,3,3,0,11,1,1,0,0,0,0,Canela,4304408,-29.356000000000,-50.811900000000,40.090,40.520,41.073,41.789,42.611,43.290,43.724,44.128,45.054,46.280,47.453,47.990
79,CANOAS,9,11,0,410,0,34,173,22,322,10,37,37,0,0,11,Canguçu,4304507,-31.396000000000,-52.678199999990,54.357,54.099,54.131,53.864,53.780,53.552,53.214,53.161,53.121,53.164,53.022,53.161
80,CANUDOS DO VALE,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Canoas,4304606,-29.912800000000,-51.185699999990,330.718,333.267,338.457,343.688,348.619,352.046,354.565,355.918,357.168,359.562,362.337,365.364
81,CAPAO BONITO DO SUL,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,Canudos do Vale,4304614,-29.318700000000,-52.234499999990,1.841,1.852,1.820,1.833,1.803,1.784,1.684,1.687,1.705,1.753,1.751,1.757
82,CAPAO DA CANOA,2,2,0,159,0,6,25,0,110,2,16,25,0,0,2,Capão Bonito do Sul,4304622,-29.764199999990,-50.028199999990,1.792,1.863,1.947,2.020,2.036,2.008,2.009,1.989,2.015,1.982,1.973,1.952
83,CAPAO DO CIPO,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,Capão da Canoa,4304630,-29.639700000000,-49.959899999990,42.962,44.093,44.869,45.735,46.518,48.162,49.653,51.299,52.685,53.769,55.102,56.396
84,CAPAO DO LEAO,0,0,0,17,4,0,2,0,3,1,1,0,0,0,0,Capão do Cipó,4304655,-28.904000000000,-54.700000000000,3.169,3.139,3.091,3.074,3.067,3.114,3.191,3.225,3.233,3.152,3.191,3.198
85,CAPELA DE SANTANA,0,0,0,4,0,0,1,1,5,2,0,0,0,0,0,Capão do Leão,4304663,-31.756499999990,-52.488900000000,24.837,25.168,25.264,25.229,25.447,25.792,26.044,26.189,26.524,27.002,27.170,27.105
86,CAPITAO,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Capela de Santana,4304689,-29.696100000000,-51.328000000000,11.866,11.842,11.878,12.179,12.433,12.600,12.514,12.534,12.559,12.716,12.944,13.084
87,CAPIVARI DO SUL,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,Capitão,4304697,-29.267399999990,-51.985300000000,2.687,2.694,2.739,2.829,2.884,2.911,3.033,3.048,3.090,3.045,3.119,3.185
88,CARAA,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,Capivari do Sul,4304671,-30.138200000000,-50.515099999990,3.972,4.116,4.234,4.245,4.278,4.355,4.371,4.421,4.463,4.545,4.567,4.620
89,CARAZINHO,0,0,0,67,1,3,8,1,64,5,8,4,0,0,0,Caraá,4304713,-29.786899999990,-50.431600000000,7.461,7.469,7.486,7.623,7.922,8.011,7.900,7.826,7.921,8.095,8.087,8.175
90,CARLOS BARBOSA,3,4,0,8,0,0,2,0,29,0,5,1,0,0,4,Carazinho,4304705,-28.295800000000,-52.793300000000,60.545,61.002,61.550,62.307,62.647,63.096,62.873,62.860,62.704,63.291,63.843,64.757
91,CARLOS GOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlos Barbosa,4304804,-29.296900000000,-51.502899999990,25.683,26.085,26.019,26.315,26.858,27.838,28.793,29.182,29.886,30.563,31.285,31.709
92,CASCA,0,0,0,7,0,1,0,0,4,0,4,1,0,0,0,Carlos Gomes,4304853,-27.716699999990,-51.912100000000,1.641,1.656,1.627,1.595,1.543,1.527,1.519,1.534,1.522,1.524,1.489,1.482
93,CASEIROS,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Casca,4304903,-28.560500000000,-51.981499999990,8.813,8.712,8.746,8.597,8.719,8.685,8.834,9.049,9.225,9.298,9.222,9.366
94,CATUIPE,0,0,0,4,0,0,1,0,5,3,1,0,0,0,0,Caseiros,4304952,-28.258199999990,-51.686100000000,3.066,2.980,2.982,3.151,3.225,3.257,3.193,3.250,3.368,3.404,3.328,3.235
95,CAXIAS DO SUL,8,9,0,328,4,96,85,24,356,21,14,34,0,0,12,Catuípe,4305009,-28.255400000000,-54.013199999990,9.505,9.494,9.527,9.553,9.519,9.366,9.203,9.207,9.324,9.360,9.447,9.483
96,CENTENARIO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Caxias do Sul,4305108,-29.162900000000,-51.179200000000,444.507,450.456,455.255,459.906,464.027,468.234,469.604,468.518,468.919,472.037,477.142,479.884
97,CERRITO,0,0,0,4,2,0,0,0,2,1,0,0,0,0,0,Centenário,4305116,-27.761600000000,-51.998399999990,3.021,3.042,3.002,3.029,3.075,3.116,3.056,3.002,3.033,3.089,3.123,3.148
98,CERRO BRANCO,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Cerrito,4305124,-31.841899999990,-52.800400000000,6.531,6.554,6.404,6.398,6.321,6.246,6.140,6.092,6.043,6.062,6.007,6.133
99,CERRO GRANDE,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Cerro Branco,4305132,-29.657000000000,-52.940600000000,4.543,4.499,4.431,4.380,4.430,4.450,4.445,4.469,4.318,4.283,4.102,4.128
100,CERRO GRANDE DO SUL,0,0,0,2,1,1,0,0,4,4,0,0,0,0,0,Cerro Grande,4305157,-27.610600000000,-53.167200000000,2.465,2.465,2.450,2.460,2.457,2.471,2.474,2.508,2.533,2.561,2.598,2.670
101,CERRO LARGO,0,0,0,2,0,1,0,0,3,1,1,2,0,0,0,Cerro Grande do Sul,4305173,-30.590499999990,-51.741799999990,10.498,10.459,10.429,10.506,10.566,10.532,10.559,10.661,10.968,11.018,10.914,10.675
102,CHAPADA,0,0,0,6,0,1,2,0,2,0,0,0,0,0,0,Cerro Largo,4305207,-28.146200000000,-54.742800000000,13.556,13.685,13.600,13.651,13.741,13.944,14.136,14.287,14.590,14.608,14.746,14.814
103,CHARQUEADAS,0,0,0,20,0,0,0,0,20,1,19,14,0,0,0,Chapada,4305306,-28.055900000000,-53.066499999990,9.554,9.643,9.685,9.468,9.334,9.287,9.478,9.578,9.882,10.096,10.330,10.299
104,CHARRUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charqueadas,4305355,-29.962500000000,-51.628900000000,36.043,36.544,36.785,36.913,37.302,37.678,37.739,37.559,37.595,37.641,37.571,38.054
105,CHIAPETTA,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,Charrua,4305371,-27.949300000000,-52.015000000000,3.549,3.538,3.504,3.413,3.409,3.337,3.221,3.192,3.189,3.237,3.214,3.211
106,CHUI,0,0,0,15,0,0,1,0,3,0,3,2,0,0,0,Chiapetta,4305405,-27.922999999990,-53.941899999990,4.128,4.085,4.093,4.176,4.206,4.181,4.117,4.176,4.178,4.171,4.088,4.047
107,CHUVISCA,0,0,0,6,2,0,1,0,1,1,0,0,0,0,0,Chuí,4305439,-33.686599999990,-53.459400000000,6.053,5.971,5.935,5.915,5.983,6.038,6.015,5.919,5.930,6.008,6.003,5.869
108,CIDREIRA,0,0,0,48,1,7,11,2,20,1,3,8,0,1,1,Chuvisca,4305447,-30.750399999990,-51.973700000000,5.055,5.026,5.033,5.061,5.141,5.171,5.165,5.136,5.141,5.197,5.203,5.242
109,CIRIACO,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Cidreira,4305454,-30.160399999990,-50.233800000000,12.935,13.119,13.406,13.677,13.962,14.248,14.529,14.943,15.273,15.730,16.117,16.515
110,COLINAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ciríaco,4305504,-28.341899999990,-51.874099999990,5.020,5.021,5.024,4.919,4.805,4.709,4.696,4.676,4.674,4.657,4.602,4.670
111,COLORADO,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,Colinas,4305587,-29.381499999990,-51.852600000000,2.463,2.528,2.631,2.689,2.754,2.779,2.862,2.904,2.938,2.954,2.964,2.971
112,CONDOR,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,Colorado,4305603,-28.525800000000,-52.992800000000,3.620,3.502,3.491,3.475,3.485,3.388,3.371,3.438,3.478,3.537,3.473,3.482
