municipios;ibge;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
arroio do sal;4301057;18.87148518588413;18.87148518588413;9.435742592942065;2792.979807510851;18.87148518588413;217.02207963766747;66.05019815059445;0.0;1075.6746555953955;47.17871296471032;245.3293074164937;377.42970371768257;9.435742592942065;0.0;37.74297037176826
arroio do tigre;4301206;7.871536523929471;7.871536523929471;0.0;535.2644836272041;102.32997481108312;62.97229219143577;7.871536523929471;0.0;472.2921914357683;47.22921914357683;31.486146095717885;70.84382871536523;0.0;0.0;15.743073047858942
arroio dos ratos;4301107;6.841817186644773;6.841817186644773;0.0;636.2889983579639;27.367268746579093;20.525451559934318;34.20908593322386;6.841817186644773;465.2435686918446;95.78544061302682;307.8817733990148;321.56540777230435;0.0;0.0;6.841817186644773
arroio grande;4301305;5.757383844780931;5.757383844780931;0.0;759.9746675110829;138.17721227474237;23.029535379123725;51.81645460302838;0.0;293.6265760838275;46.05907075824745;132.41982842996143;149.69197996430424;0.0;0.0;5.757383844780931
arvorezinha;4301404;18.962738219398883;18.962738219398883;0.0;426.6616099364748;9.481369109699441;66.36958376789609;47.4068455484972;0.0;56.888214658196645;66.36958376789609;123.25779842609272;56.888214658196645;0.0;0.0;18.962738219398883
augusto pestana;4301503;0.0;0.0;0.0;280.3738317757009;0.0;26.7022696929239;0.0;26.7022696929239;734.3124165554071;53.4045393858478;0.0;0.0;0.0;0.0;0.0
aurea;4301552;0.0;0.0;0.0;456.62100456621005;0.0;0.0;0.0;0.0;644.64141821112;53.72011818426001;26.860059092130005;0.0;0.0;0.0;0.0
bage;4301602;7.4183364792575075;7.4183364792575075;0.0;1016.3120976582785;70.06206674854312;35.44316317867475;169.79747941411625;1.6485192176127794;713.8088212263334;58.52243222525367;152.48802762918208;145.89395075873097;0.0;0.8242596088063897;9.891115305676676
balneario pinhal;4301636;36.09587063239966;43.31504475887958;7.219174126479931;1624.3141784579846;7.219174126479931;50.53421888535952;202.1368755414381;14.438348252959862;924.0542881894312;57.75339301183945;209.356049667918;86.63008951775916;7.219174126479931;0.0;57.75339301183945
barao;4301651;0.0;0.0;0.0;317.1247357293869;0.0;15.101177891875567;60.40471156750227;0.0;1026.8800966475385;30.202355783751134;15.101177891875567;0.0;0.0;0.0;0.0
barao de cotegipe;4301701;0.0;0.0;0.0;409.41658137154553;43.866062289808454;14.622020763269482;0.0;0.0;570.2588097675099;14.622020763269482;29.244041526538965;58.48808305307793;0.0;0.0;14.622020763269482
barao do triunfo;4301750;0.0;0.0;0.0;549.282880683552;106.80500457735734;30.51571559353067;61.03143118706134;0.0;183.094293561184;137.320720170888;30.51571559353067;15.257857796765334;0.0;0.0;0.0
barra do guarita;4301859;0.0;0.0;0.0;487.24562912009173;57.32301519059903;57.32301519059903;0.0;0.0;372.5995987388937;171.96904557179707;28.661507595299515;143.30753797649754;0.0;0.0;0.0
barra do quarai;4301875;0.0;0.0;0.0;502.39234449760767;95.69377990430623;0.0;23.923444976076556;0.0;406.6985645933014;0.0;334.9282296650718;95.69377990430623;0.0;0.0;0.0
barra do ribeiro;4301909;22.624434389140273;22.624434389140273;0.0;731.5233785822021;105.58069381598793;22.624434389140273;52.790346907993964;7.541478129713425;701.3574660633484;67.87330316742081;256.4102564102564;105.58069381598793;0.0;0.0;22.624434389140273
barra do rio azul;4301925;0.0;0.0;0.0;393.7007874015748;0.0;0.0;0.0;0.0;281.214848143982;0.0;0.0;0.0;0.0;0.0;0.0
barra funda;4301958;0.0;0.0;0.0;221.89349112426035;0.0;73.96449704142012;0.0;36.98224852071006;184.91124260355028;73.96449704142012;0.0;0.0;0.0;0.0;0.0
barracao;4301800;19.650225977598744;19.650225977598744;0.0;923.5606209471409;294.7533896639811;0.0;39.30045195519749;0.0;393.0045195519749;137.5515818431912;117.90135586559245;58.950677932796225;0.0;0.0;19.650225977598744
barros cassal;4302006;19.12960306073649;19.12960306073649;0.0;870.3969392635103;143.47202295552367;47.82400765184123;47.82400765184123;0.0;38.25920612147298;47.82400765184123;172.1664275466284;0.0;0.0;0.0;19.12960306073649
benjamin constant do sul;4302055;45.392646391284615;45.392646391284615;0.0;136.17793917385384;0.0;0.0;0.0;0.0;272.3558783477077;136.17793917385384;0.0;0.0;0.0;0.0;45.392646391284615
bento goncalves;4302105;23.050503653504826;23.050503653504826;0.0;895.1278918777708;4.610100730700966;64.54141022981352;113.71581802395717;10.75690170496892;941.9972493065641;53.784508524844604;278.14274408562494;149.8282737477814;0.0;0.7683501217834943;24.587203897071817
boa vista das missoes;4302154;0.0;0.0;0.0;909.5260890378171;0.0;47.86979415988511;0.0;0.0;478.6979415988511;0.0;47.86979415988511;95.73958831977022;0.0;0.0;47.86979415988511
boa vista do burica;4302204;0.0;0.0;0.0;245.5326694857455;0.0;0.0;13.640703860319192;0.0;422.86181966989494;54.56281544127677;40.922111580957576;40.922111580957576;0.0;0.0;0.0
boa vista do cadeado;4302220;0.0;0.0;0.0;984.1677364142062;128.36970474967907;0.0;42.78990158322636;0.0;556.2687205819427;128.36970474967907;0.0;0.0;0.0;0.0;0.0
boa vista do incra;4302238;0.0;0.0;0.0;878.5942492012779;159.7444089456869;39.936102236421725;0.0;0.0;479.23322683706067;39.936102236421725;0.0;0.0;0.0;0.0;0.0
boa vista do sul;4302253;0.0;0.0;0.0;537.1248025276461;63.1911532385466;31.5955766192733;0.0;0.0;315.955766192733;0.0;0.0;0.0;0.0;0.0;0.0
bom jesus;4302303;17.101325352714834;17.101325352714834;0.0;880.7182556648141;85.50662676357418;42.75331338178709;51.3039760581445;8.550662676357417;461.7357845233006;94.0572894399316;230.8678922616503;410.431808465156;0.0;0.0;17.101325352714834
bom principio;4302352;6.8082788671023975;6.8082788671023975;0.0;428.921568627451;6.8082788671023975;54.46623093681918;13.616557734204795;13.616557734204795;891.884531590414;27.23311546840959;367.6470588235294;88.50762527233115;0.0;0.0;6.8082788671023975
bom progresso;4302378;83.47245409015025;83.47245409015025;0.0;208.6811352253756;0.0;41.736227045075125;0.0;0.0;292.1535893155259;41.736227045075125;41.736227045075125;125.20868113522538;0.0;0.0;83.47245409015025
bom retiro do sul;4302402;14.988009592326138;14.988009592326138;0.0;562.0503597122301;59.95203836930455;82.43405275779376;29.976019184652277;0.0;509.59232613908875;37.47002398081535;247.30215827338128;119.9040767386091;0.0;0.0;14.988009592326138
boqueirao do leao;4302451;0.0;0.0;0.0;575.8671487880006;26.7845185482791;107.1380741931164;0.0;0.0;187.49162983795367;13.39225927413955;26.7845185482791;26.7845185482791;0.0;0.0;0.0
bossoroca;4302501;16.0;16.0;0.0;496.0;176.0;16.0;16.0;0.0;608.0;111.99999999999999;464.0;223.99999999999997;0.0;0.0;16.0
bozano;4302584;0.0;0.0;0.0;475.5728491137051;43.23389537397319;0.0;0.0;0.0;432.33895373973195;43.23389537397319;86.46779074794638;0.0;0.0;0.0;0.0
braga;4302600;0.0;0.0;0.0;348.99328859060404;80.53691275167785;80.53691275167785;53.69127516778523;0.0;241.61073825503354;107.38255033557046;107.38255033557046;107.38255033557046;0.0;0.0;0.0
brochier;4302659;0.0;0.0;0.0;355.206580669284;18.695083193120208;18.695083193120208;18.695083193120208;0.0;691.7180781454477;18.695083193120208;56.08524957936063;18.695083193120208;0.0;0.0;0.0
butia;4302709;43.18203627291047;52.77804433355724;0.0;854.0447173975627;91.16207657614432;19.19201612129354;129.54610881873143;0.0;427.0223586987814;110.35409269743786;283.0822377890797;230.3041934555225;0.0;0.0;57.57604836388062
cacapava do sul;4302808;2.901915264074289;2.901915264074289;0.0;893.789901334881;116.07661056297157;66.74405107370865;72.54788160185723;2.901915264074289;650.0290191526408;95.76320371445154;304.70110272780033;107.37086477074868;0.0;0.0;5.803830528148578
cacequi;4302907;7.877737513786041;7.877737513786041;0.0;1394.359539940129;433.27556325823224;23.633212541358123;47.266425082716246;0.0;472.6642508271624;94.53285016543249;86.65511265164645;39.3886875689302;0.0;0.0;7.877737513786041
cachoeira do sul;4303004;7.070385689539365;7.070385689539365;0.0;901.4741754162691;40.06551890738973;48.31430221185232;83.66623065954914;1.1783976149232274;432.4719246768244;55.384687901391686;123.73174956693887;196.79240169217897;0.0;0.0;7.070385689539365
cachoeirinha;4303103;7.316198795753678;8.047818675329045;0.0;1139.1321524988477;0.7316198795753679;90.72086506734561;424.3395301537133;51.213391570275746;993.5397964633495;28.533175303439346;73.89360783711214;86.3311457898934;0.0;0.0;10.974298193630517
cacique doble;4303202;58.97385492431689;58.97385492431689;0.0;629.0544525260468;19.657951641438963;117.94770984863378;39.315903282877926;0.0;176.92156477295066;1277.7668566935326;39.315903282877926;19.657951641438963;0.0;0.0;58.97385492431689
caibate;4303301;0.0;0.0;0.0;199.28258270227184;39.856516540454365;0.0;0.0;0.0;518.1347150259068;59.78477481068154;19.928258270227182;39.856516540454365;0.0;0.0;19.928258270227182
caicara;4303400;0.0;0.0;0.0;552.5992632009825;122.79983626688497;40.93327875562832;0.0;0.0;347.9328694228408;61.39991813344248;40.93327875562832;0.0;0.0;0.0;0.0
camaqua;4303509;7.539090182596764;7.539090182596764;1.5078180365193528;966.5113614089051;43.726723059061236;39.203268949503176;78.40653789900635;10.554726255635469;527.7363127817734;60.312721460774114;251.80561209873193;196.01634474751586;1.5078180365193528;0.0;9.046908219116117
camargo;4303558;33.45600535296086;33.45600535296086;0.0;334.5600535296085;66.91201070592172;0.0;66.91201070592172;0.0;267.64804282368686;133.82402141184343;267.64804282368686;0.0;0.0;0.0;33.45600535296086
cambara do sul;4303608;0.0;0.0;0.0;502.0395356134295;78.44367743959836;31.377470975839344;15.688735487919672;0.0;564.7944775651083;78.44367743959836;47.06620646375902;47.06620646375902;0.0;0.0;0.0
campestre da serra;4303673;30.797659377887282;30.797659377887282;0.0;461.9648906683092;30.797659377887282;61.595318755774564;92.39297813366184;30.797659377887282;184.78595626732368;153.9882968894364;92.39297813366184;30.797659377887282;0.0;0.0;30.797659377887282
campina das missoes;4303707;0.0;0.0;0.0;209.44095376188173;16.110842597067826;16.110842597067826;0.0;0.0;257.7734815530852;16.110842597067826;32.22168519413565;16.110842597067826;0.0;0.0;16.110842597067826
campinas do sul;4303806;0.0;0.0;0.0;597.7796754910332;17.079419299743808;0.0;17.079419299743808;0.0;375.7472245943638;153.71477369769428;358.66780529462;17.079419299743808;0.0;0.0;0.0
campo bom;4303905;4.482294935006723;4.482294935006723;0.0;1010.0104586881816;1.4940983116689077;171.82130584192439;174.80950246526223;49.30524428507396;897.9530853130135;26.89376961004034;158.37442103690424;82.17540714178993;0.0;0.0;5.976393246675631
campo novo;4304002;19.66568338249754;19.66568338249754;0.0;2241.88790560472;58.99705014749262;39.33136676499508;39.33136676499508;0.0;432.6450344149459;157.32546705998033;491.6420845624385;58.99705014749262;0.0;0.0;39.33136676499508
campos borges;4304101;0.0;0.0;0.0;619.1117092866756;107.67160161507401;26.917900403768503;0.0;26.917900403768503;296.0969044414536;80.75370121130553;26.917900403768503;26.917900403768503;0.0;0.0;0.0
candelaria;4304200;13.251176041873716;13.251176041873716;0.0;914.3311468892865;106.00940833498973;26.502352083747432;56.31749817796329;3.312794010468429;443.9143974027695;66.25588020936858;175.57808255482672;129.19896640826875;0.0;0.0;16.563970052342146
candido godoi;4304309;0.0;0.0;0.0;148.6988847583643;0.0;29.739776951672862;0.0;0.0;223.04832713754647;89.21933085501858;44.60966542750929;14.869888475836431;0.0;0.0;0.0
candiota;4304358;21.197668256491788;21.197668256491788;0.0;805.511393746688;264.9708532061473;63.59300476947536;84.79067302596715;10.598834128245894;561.7382087970324;52.994170641229466;105.98834128245893;74.19183889772124;0.0;0.0;21.197668256491788
canela;4304408;10.418837257762034;10.418837257762034;0.0;1302.3546572202542;2.0837674515524065;54.177953740362575;75.01562825588665;4.167534903104813;1206.5013544488434;45.84288393415295;435.50739737445303;250.0520941862888;0.0;0.0;10.418837257762034
cangucu;4304507;3.7621564680875075;3.7621564680875075;0.0;650.8530689791388;94.05391170218769;33.85940821278757;50.789112319181356;3.7621564680875075;304.73467391508814;45.14587761705009;18.810782340437537;18.810782340437537;0.0;0.0;3.7621564680875075
canoas;4304606;21.074873277060686;22.169671888856044;0.0;1333.4647091667487;0.8210989588465202;134.93392890377814;484.4483857194469;77.1833021315729;1084.3980249833044;42.69714586001905;192.13715637008573;169.69378482828083;0.0;0.0;22.443371541804883
canudos do vale;4304614;0.0;0.0;0.0;512.2367672168469;0.0;0.0;0.0;0.0;569.1519635742743;0.0;0.0;0.0;0.0;0.0;0.0
capao bonito do sul;4304622;0.0;0.0;0.0;1793.0327868852457;1229.5081967213114;0.0;0.0;0.0;204.91803278688525;102.45901639344262;0.0;0.0;0.0;0.0;0.0
capao da canoa;4304630;24.824455635151427;26.597631037662246;0.0;1915.0294347116817;5.319526207532449;90.43194552805163;274.84218738917656;28.370806440173062;1379.530463153415;51.42208667281368;154.26626001844102;253.56408255904677;0.0;0.0;28.370806440173062
capao do cipo;4304655;0.0;0.0;0.0;1000.6253908692933;281.42589118198873;0.0;0.0;0.0;375.234521575985;93.80863039399625;0.0;0.0;0.0;0.0;0.0
capao do leao;4304663;0.0;0.0;0.0;582.9182807600074;129.12746725696366;33.20420586607637;70.09776793949456;3.6893562073418193;276.7017155506364;25.82549345139273;29.514849658734555;66.40841173215274;0.0;0.0;0.0
capela de santana;4304689;7.642922653622745;7.642922653622745;0.0;359.2173647202691;53.50045857535922;38.21461326811373;68.78630388260471;7.642922653622745;489.14704983185567;22.928767960868235;61.14338122898196;168.1442983797004;0.0;0.0;7.642922653622745
capitao;4304697;0.0;0.0;0.0;533.7519623233909;31.39717425431711;0.0;0.0;0.0;188.38304552590267;0.0;62.79434850863422;0.0;0.0;0.0;0.0
capivari do sul;4304671;0.0;0.0;0.0;497.83549783549785;43.29004329004329;0.0;86.58008658008659;21.645021645021647;649.3506493506494;86.58008658008659;173.16017316017317;43.29004329004329;0.0;0.0;0.0
caraa;4304713;12.232415902140673;12.232415902140673;0.0;220.18348623853214;24.464831804281346;24.464831804281346;12.232415902140673;12.232415902140673;244.64831804281343;0.0;48.92966360856269;48.92966360856269;0.0;0.0;12.232415902140673
carazinho;4304705;21.619284401686304;21.619284401686304;1.5442346001204503;934.2619330728724;7.721173000602251;91.10984140710657;148.24652161156322;10.809642200843152;937.3504022731132;101.91948360794973;179.13121361397222;157.51192921228593;1.5442346001204503;0.0;27.796222802168106
carlos barbosa;4304804;18.9220725976852;28.383108896527798;0.0;324.82891292692926;12.614715065123466;28.383108896527798;12.614715065123466;18.9220725976852;819.9564792330253;15.768393831404333;119.83979311867294;69.38093285817907;0.0;0.0;28.383108896527798
carlos gomes;4304853;67.47638326585695;67.47638326585695;0.0;607.2874493927126;0.0;67.47638326585695;0.0;0.0;337.38191632928476;0.0;0.0;0.0;0.0;0.0;67.47638326585695
casca;4304903;10.676916506512919;10.676916506512919;0.0;715.3534059363656;53.38458253256459;106.76916506512919;0.0;10.676916506512919;747.3841554559043;21.353833013025838;170.8306641042067;202.86141362374548;0.0;0.0;21.353833013025838
caseiros;4304952;61.82380216383308;61.82380216383308;0.0;741.885625965997;216.38330757341578;61.82380216383308;61.82380216383308;0.0;494.59041731066463;154.5595054095827;247.29520865533232;92.73570324574962;0.0;0.0;61.82380216383308
catuipe;4305009;21.090372245070125;21.090372245070125;0.0;463.9881893915428;73.81630285774544;21.090372245070125;31.63555836760519;0.0;347.9911420436571;115.9970473478857;31.63555836760519;31.63555836760519;0.0;0.0;21.090372245070125
caxias do sul;4305108;17.295846496236592;17.920997574413814;0.20838369272574206;854.5815238682682;5.001208625417809;157.1213043152095;215.677121971143;41.051587466971185;951.4799409857382;54.59652749414442;35.84199514882763;72.10075768310675;0.20838369272574206;0.0;20.629985579848462
centenario;4305116;31.76620076238882;31.76620076238882;0.0;158.8310038119441;31.76620076238882;0.0;0.0;0.0;222.36340533672174;0.0;0.0;0.0;0.0;0.0;31.76620076238882
cerrito;4305124;0.0;0.0;16.305233980107616;456.54655144301324;179.35757378118376;0.0;0.0;16.305233980107616;326.1046796021523;32.61046796021523;48.91570194032284;16.305233980107616;16.305233980107616;0.0;32.61046796021523
cerro branco;4305132;0.0;0.0;0.0;411.82170542635663;0.0;0.0;0.0;0.0;242.24806201550388;48.44961240310077;0.0;0.0;0.0;0.0;0.0
cerro grande;4305157;0.0;0.0;0.0;973.7827715355805;299.62546816479403;112.35955056179776;0.0;0.0;299.62546816479403;37.453183520599254;0.0;0.0;0.0;0.0;0.0
cerro grande do sul;4305173;18.73536299765808;18.73536299765808;0.0;393.44262295081967;28.10304449648712;28.10304449648712;28.10304449648712;9.36768149882904;168.61826697892272;121.77985948477752;28.10304449648712;0.0;0.0;0.0;18.73536299765808
cerro largo;4305207;27.00148508167949;27.00148508167949;6.750371270419873;290.2659646280545;13.500742540839745;13.500742540839745;13.500742540839745;0.0;418.5230187660321;87.75482651545835;175.5096530309167;94.50519778587822;6.750371270419873;0.0;33.75185635209937
chapada;4305306;9.709680551509855;9.709680551509855;0.0;417.51626371492375;9.709680551509855;29.129041654529562;48.548402757549276;0.0;640.8389163996504;38.83872220603942;9.709680551509855;0.0;0.0;0.0;9.709680551509855
charqueadas;4305355;2.6278446418247756;2.6278446418247756;0.0;438.8500551847375;10.511378567299102;13.139223209123875;34.16198034372208;0.0;470.38419088663477;42.04551426919641;504.5461712303569;578.1258212014505;0.0;0.0;2.6278446418247756
charrua;4305371;0.0;0.0;0.0;249.1435689816257;0.0;31.14294612270321;0.0;0.0;124.57178449081285;62.28589224540642;0.0;0.0;0.0;0.0;0.0
chiapetta;4305405;0.0;0.0;0.0;469.4835680751174;0.0;24.709661477637756;49.41932295527551;0.0;345.9352606869286;49.41932295527551;74.12898443291327;123.54830738818879;0.0;0.0;0.0
chui;4305439;17.03867779860283;17.03867779860283;0.0;2317.2601806099847;323.73487817345375;68.15471119441132;323.73487817345375;0.0;374.8509115692622;85.19338899301414;340.77355597205656;170.38677798602828;0.0;0.0;17.03867779860283
chuvisca;4305447;0.0;0.0;0.0;763.0675314765357;133.53681800839377;19.07668828691339;19.07668828691339;0.0;247.99694772987408;76.30675314765357;0.0;0.0;0.0;0.0;0.0
cidreira;4305454;90.82652134423252;90.82652134423252;6.055101422948835;2331.2140478353012;30.275507114744173;133.21223130487436;339.0856796851347;30.275507114744173;920.3754162882228;96.88162276718136;266.42446260974873;272.4795640326975;6.055101422948835;6.055101422948835;102.93672419013019
ciriaco;4305504;0.0;0.0;0.0;599.5717344753748;192.71948608137046;42.82655246252676;0.0;0.0;663.8115631691649;85.65310492505353;85.65310492505353;64.23982869379014;0.0;0.0;42.82655246252676
colinas;4305587;0.0;0.0;0.0;336.58700774150117;0.0;0.0;0.0;0.0;370.2457085156513;0.0;67.31740154830024;0.0;0.0;0.0;33.65870077415012
colorado;4305603;0.0;0.0;0.0;746.6973004020678;86.15738081562321;0.0;0.0;0.0;229.75301550832856;86.15738081562321;28.71912693854107;0.0;0.0;0.0;0.0
condor;4305702;27.48385323622372;27.48385323622372;0.0;728.3221107599286;137.4192661811186;68.7096330905593;27.48385323622372;13.74192661811186;769.5478906142641;54.96770647244744;27.48385323622372;13.74192661811186;0.0;0.0;41.22577985433558
constantina;4305801;0.0;0.0;0.0;444.23877834335957;18.509949097639982;46.27487274409995;27.764923646459973;9.254974548819991;536.7885238315595;46.27487274409995;175.84451642757983;129.56964368347985;0.0;0.0;0.0
coqueiro baixo;4305835;0.0;0.0;0.0;466.6666666666667;0.0;66.66666666666667;0.0;0.0;400.0;66.66666666666667;0.0;0.0;0.0;0.0;0.0
coqueiros do sul;4305850;0.0;0.0;0.0;627.0903010033445;167.22408026755852;0.0;0.0;41.80602006688963;752.5083612040133;83.61204013377926;41.80602006688963;0.0;0.0;0.0;0.0
coronel barros;4305871;0.0;0.0;0.0;378.2668500687758;34.3878954607978;34.3878954607978;0.0;0.0;206.3273727647868;171.93947730398898;34.3878954607978;34.3878954607978;0.0;0.0;0.0
coronel bicaco;4305900;13.374348000534972;13.374348000534972;0.0;548.348268021934;40.123044001604924;13.374348000534972;66.87174000267487;13.374348000534972;173.86652400695465;40.123044001604924;80.24608800320985;93.62043600374481;0.0;0.0;13.374348000534972
coronel pilar;4305934;0.0;0.0;0.0;458.97877223178426;0.0;0.0;0.0;0.0;286.8617326448652;0.0;114.74469305794607;0.0;0.0;0.0;0.0
cotipora;4305959;0.0;0.0;0.0;428.5354171918326;25.207965717166626;50.41593143433325;0.0;0.0;403.327451474666;75.62389715149988;25.207965717166626;0.0;0.0;0.0;25.207965717166626
coxilha;4305975;0.0;0.0;0.0;961.5384615384615;137.36263736263737;34.34065934065934;0.0;0.0;412.0879120879121;103.02197802197803;309.0659340659341;0.0;0.0;0.0;0.0
crissiumal;4306007;0.0;0.0;0.0;525.1420761096324;28.774908279979854;14.387454139989927;0.0;0.0;323.71771814977336;93.51845190993454;35.96863534997482;43.16236241996979;0.0;0.0;0.0
cristal;4306056;0.0;0.0;0.0;668.15144766147;78.60605266605528;13.101008777675883;26.202017555351766;0.0;445.43429844097994;104.80807022140706;170.31311410978645;65.5050438883794;0.0;0.0;0.0
cristal do sul;4306072;0.0;0.0;0.0;381.2824956672444;69.32409012131716;0.0;0.0;0.0;415.94454072790296;103.98613518197574;0.0;0.0;0.0;0.0;0.0
cruz alta;4306106;24.04385599333184;24.04385599333184;0.0;1072.3559773026;19.235084794665468;44.8818645208861;133.0426698297695;3.205847465777578;923.2840701439425;121.82220369954797;163.4982207546565;181.13038181643316;0.0;0.0;24.04385599333184
cruzaltense;4306130;0.0;0.0;0.0;687.4669487043892;52.882072977260705;0.0;158.64621893178213;0.0;105.76414595452141;0.0;0.0;0.0;0.0;0.0;0.0
cruzeiro do sul;4306205;14.665982254161474;14.665982254161474;0.0;659.9692014372663;43.99794676248442;29.331964508322947;14.665982254161474;0.0;439.97946762484423;7.332991127080737;51.33093788956515;21.99897338124221;0.0;0.0;29.331964508322947
david canabarro;4306304;0.0;0.0;0.0;463.4738468329287;88.28073273008167;22.070183182520417;0.0;0.0;573.8247627455307;0.0;0.0;22.070183182520417;0.0;0.0;0.0
derrubadas;4306320;0.0;0.0;0.0;341.76349965823647;34.176349965823654;34.176349965823654;0.0;0.0;205.0580997949419;170.88174982911823;34.176349965823654;0.0;0.0;0.0;0.0
dezesseis de novembro;4306353;0.0;0.0;0.0;399.5205753096284;79.9041150619257;0.0;0.0;0.0;359.5685177786656;0.0;79.9041150619257;79.9041150619257;0.0;0.0;0.0
