municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
julio de castilhos;4311205;0;0;0;18;1;1;2;1;11;1;2;3;0;0;0
lagoa bonita do sul;4311239;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
lagoa dos tres cantos;4311270;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
lagoa vermelha;4311304;2;2;0;45;3;0;4;0;20;4;13;5;0;0;2
lagoao;4311254;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
lajeado;4311403;1;1;0;92;0;8;3;0;81;3;7;13;0;0;1
lajeado do bugre;4311429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lavras do sul;4311502;0;0;0;3;2;2;0;0;0;0;1;0;0;0;0
liberato salzano;4311601;0;0;0;5;3;0;0;0;1;0;0;1;0;0;0
lindolfo collor;4311627;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0
linha nova;4311643;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
macambara;4311718;0;0;0;5;3;0;0;0;2;0;0;0;0;0;0
machadinho;4311700;0;0;0;7;0;0;0;0;0;1;0;1;0;0;0
mampituba;4311734;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
manoel viana;4311759;0;0;0;1;0;0;0;0;2;1;0;4;0;0;0
maquine;4311775;0;0;0;0;0;0;2;0;4;1;1;2;0;0;0
marata;4311791;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
marau;4311809;1;1;0;38;4;3;0;0;30;2;1;2;0;0;1
marcelino ramos;4311908;0;0;0;4;0;0;0;0;1;1;0;0;0;0;0
mariana pimentel;4311981;0;0;0;5;0;0;0;0;3;0;0;1;0;0;0
mariano moro;4312005;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
marques de souza;4312054;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0
mata;4312104;0;0;0;7;1;1;0;0;0;0;1;0;0;0;0
mato castelhano;4312138;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0
mato leitao;4312153;0;0;0;1;0;0;1;0;4;1;1;0;0;0;0
