ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;2021
4307864;0;0;0;5;0;1;0;0;4;1;1;0;0;0;2710
4307906;13;13;0;508;5;64;60;26;791;42;71;122;0;0;72410
4308003;2;2;0;54;1;0;2;0;33;7;2;4;0;0;7066
4308052;1;1;0;12;2;1;0;0;5;4;1;1;0;0;2578
4308078;1;1;0;45;4;2;1;0;27;1;11;6;0;0;4570
4308102;0;0;0;86;2;7;4;0;137;2;36;16;0;0;14501
4308201;3;5;0;178;6;29;14;3;277;13;20;20;0;0;32121
4308250;0;0;0;5;1;0;0;0;9;0;0;0;0;0;1759
4308300;0;0;0;83;10;5;3;0;12;8;10;0;0;0;10093
4308409;1;1;0;67;14;1;2;0;37;7;2;9;0;0;7269
4308433;0;0;0;17;2;1;0;0;11;1;1;0;0;0;2562
4308458;0;0;0;44;2;3;1;0;34;1;0;0;0;0;4645
4308508;3;3;0;207;10;15;9;1;233;17;139;47;0;0;34251
4308607;4;4;0;189;2;18;20;6;203;12;48;14;0;0;36433
4308656;0;0;0;22;16;2;0;0;4;2;0;0;0;0;2924
4308706;1;1;0;34;0;0;0;0;32;2;2;2;0;0;5850
4308805;0;0;0;103;17;2;3;0;28;4;19;5;0;0;8381
4308854;0;0;0;21;3;0;3;1;9;5;1;1;0;0;1938
4308904;3;3;0;98;0;6;5;0;135;4;65;42;0;0;17647
4309001;1;1;0;118;6;5;10;0;37;11;33;14;0;0;16249
4309050;3;4;0;67;10;2;6;2;49;4;12;10;0;0;8047
4309100;4;4;0;523;2;19;14;3;560;23;253;81;0;0;39621
4309126;0;0;0;14;4;1;0;1;4;3;0;2;0;0;2541
4309159;1;1;0;15;2;2;0;0;17;1;2;1;0;0;3941
4309209;22;25;0;2386;27;254;998;124;2454;102;189;276;0;0;277949
4309258;0;0;0;4;0;0;0;1;4;0;1;0;0;0;1568
4309308;7;8;0;632;12;29;205;14;465;38;298;96;0;0;99202
4309407;11;11;0;110;7;10;8;3;233;32;95;49;0;0;27455
4309506;3;3;0;73;2;3;1;0;39;6;2;4;0;0;7932
4309555;0;0;0;12;0;2;0;0;27;1;5;2;0;0;5292
4307104;1;2;0;64;26;0;5;0;36;3;10;0;0;0;6625
4309571;0;0;0;13;0;1;1;0;17;0;1;1;0;0;2969
4309605;1;1;1;190;1;5;7;1;108;13;30;15;1;0;20253
4309654;0;0;0;32;9;0;2;2;24;4;1;3;0;0;5857
4309704;1;1;0;22;0;3;1;0;19;3;3;1;0;0;5025
4309753;0;0;0;27;2;3;0;0;8;1;0;1;0;0;4132
4309803;0;0;0;32;1;3;0;0;15;4;0;0;0;0;4931
4309902;0;0;0;37;6;3;2;0;19;9;3;2;0;0;8104
4309951;1;1;1;13;4;1;0;0;13;7;4;2;1;0;3974
4310009;3;3;0;118;12;7;13;3;161;13;44;41;0;0;22457
4310108;2;2;0;321;3;17;21;2;133;9;82;30;0;0;36922
4310207;9;10;0;874;7;49;50;3;601;45;217;181;0;0;89067
4310306;1;1;0;22;1;0;1;1;8;2;8;0;0;0;4168
4310330;6;9;0;625;6;26;63;7;389;16;100;73;0;0;25056
4310363;0;0;0;13;0;0;0;1;13;2;1;1;0;0;3490
4310405;0;0;0;44;6;0;0;0;19;3;9;2;0;0;6665
4310413;0;0;0;19;0;0;1;0;6;3;4;2;0;0;2294
4310439;0;0;0;48;13;2;4;1;42;5;3;7;0;0;6025
