ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;2021
4318424;0;0;0;9;1;0;3;1;12;1;0;0;0;0;4669
4318432;0;0;0;27;2;0;0;0;20;2;1;2;0;0;2828
4318440;1;2;0;7;1;1;0;0;9;1;2;0;0;0;2701
4318457;0;0;0;7;1;1;0;0;7;0;1;0;0;0;2651
4318465;0;0;0;11;1;1;3;0;2;3;0;0;0;0;2095
4318481;0;0;0;17;0;2;1;0;31;0;2;0;0;0;4592
4318499;0;0;0;4;0;1;0;0;8;0;0;0;0;0;2365
4318507;5;5;0;261;18;4;10;1;69;7;43;52;0;0;26674
4318606;0;0;0;19;2;5;0;0;39;5;10;3;0;0;7045
4318614;0;0;0;11;0;0;2;0;17;2;0;4;0;0;2487
4318622;2;2;0;37;10;1;0;0;16;6;2;3;0;0;3719
4318705;25;25;1;3481;8;396;812;172;2059;90;221;410;1;0;237720
4318804;2;2;0;342;17;11;21;0;222;16;206;29;0;0;42397
4318903;5;5;0;382;17;14;37;0;242;40;91;106;0;1;36593
4319000;2;2;0;85;4;18;8;1;143;3;15;16;0;0;21922
4319109;1;1;0;26;1;1;1;0;30;3;2;5;0;0;6129
4319125;0;0;0;63;38;3;2;0;16;1;3;1;0;0;3070
4319158;1;1;0;56;18;1;0;0;22;9;0;7;0;0;7372
4319208;0;0;0;30;9;0;0;0;11;11;2;1;0;0;5461
4319307;0;0;0;15;1;1;4;0;31;1;0;2;0;0;6047
4319356;0;0;0;8;0;1;1;0;17;2;4;1;0;0;3747
4319364;0;0;0;12;2;0;0;0;5;0;0;0;0;0;1837
4319372;0;0;0;3;1;0;0;0;14;0;0;0;0;0;3210
4319406;0;0;0;208;71;1;8;0;109;12;21;18;0;0;16563
4319505;2;2;0;252;4;18;8;8;199;19;204;35;0;0;24429
4319604;2;2;1;197;14;4;9;0;58;8;29;17;1;0;22870
4319703;1;1;0;17;0;0;0;0;14;0;2;0;0;0;3447
4319711;0;0;0;8;0;0;0;0;7;2;4;0;0;0;2496
4319737;0;0;0;6;0;0;0;0;1;0;0;0;0;0;3032
4319752;0;0;0;8;0;2;2;2;12;0;1;2;0;0;2436
4319802;0;0;0;62;14;0;3;0;48;9;32;9;0;0;7971
4319901;2;2;0;761;7;82;118;19;505;20;217;87;0;1;82852
4320008;19;20;1;1881;7;165;464;90;1059;38;160;231;1;0;148018
4320107;3;4;0;271;1;12;13;3;191;17;79;46;0;0;24808
4320206;0;0;0;121;7;15;6;1;57;16;10;7;0;0;12466
4320230;0;0;0;5;0;1;0;0;4;1;3;2;0;0;3114
4320263;2;2;0;51;10;2;0;0;15;4;0;3;0;0;6923
4320305;0;0;0;13;0;5;0;0;20;0;0;4;0;0;5216
4320321;0;0;0;9;1;0;0;0;8;0;0;0;0;0;2824
4320354;2;3;0;64;14;4;4;0;11;4;1;4;0;0;5040
4320404;3;3;0;67;3;1;6;0;110;13;59;20;0;0;17581
4320453;1;1;0;21;0;2;0;0;2;1;2;0;0;0;2123
4320503;0;0;0;32;3;0;0;0;34;6;2;1;0;0;6196
4320552;0;0;0;24;1;0;3;0;28;3;2;1;0;0;6081
4320578;0;0;0;16;5;1;4;0;8;4;0;0;0;0;2167
4320602;0;0;0;19;1;1;0;0;14;1;1;1;0;0;3804
4320651;0;0;0;34;2;2;0;0;9;2;1;0;0;0;2361
4320677;0;0;0;29;1;2;1;0;24;2;1;0;0;0;9492
4320701;2;2;0;171;1;6;10;0;88;17;26;36;0;0;15403
4320800;9;10;0;455;39;27;23;1;127;41;72;33;0;0;30881
4320859;0;0;0;24;3;2;3;5;27;0;5;0;0;0;4936
4320909;3;4;0;319;2;15;21;2;168;13;41;14;0;0;25473
4321006;2;2;0;90;4;6;4;1;33;9;22;19;0;0;11319
4321105;3;4;0;157;19;5;10;2;67;16;17;48;0;0;16082
4321204;2;2;1;533;12;39;56;12;428;29;555;94;1;0;58402
4321303;6;6;0;153;12;7;9;2;148;16;137;31;0;0;26906
4321329;0;0;0;13;1;0;0;0;12;3;2;2;0;0;3380
4321352;0;0;0;51;11;1;1;0;22;3;4;14;0;0;5702
4321402;5;5;0;197;6;25;16;2;70;22;27;14;0;0;14610
4321436;2;2;0;107;11;6;6;2;112;4;7;30;0;0;11908
4321451;0;0;0;135;2;6;11;1;273;11;169;32;0;0;35083
4321469;0;0;1;38;0;2;1;0;28;6;2;3;1;0;3199
4321477;0;0;0;26;1;1;1;0;14;13;2;5;0;0;5952
4321493;0;0;0;18;7;0;0;0;8;6;0;0;0;0;2818
4321501;3;3;0;832;11;50;73;10;587;13;168;75;0;0;42390
4321600;25;28;0;1153;10;77;128;15;537;48;166;182;0;1;53036
4321626;0;0;0;9;0;0;0;0;8;0;2;0;0;0;2496
4321634;0;0;0;11;1;1;0;0;11;1;0;0;0;0;2931
4321667;2;2;0;75;2;8;1;0;89;1;6;4;0;0;11466
4321709;0;0;0;186;4;5;9;0;69;12;64;24;0;0;26643
4321808;2;2;0;112;10;3;8;0;155;15;25;19;0;0;27040
4321832;0;0;0;11;2;0;0;1;4;0;0;1;0;0;3077
4321857;0;0;0;15;0;0;2;0;13;1;7;1;0;0;4971
4321907;2;2;0;234;7;13;12;1;133;13;45;107;0;0;27047
4321956;0;0;0;46;5;5;2;1;24;10;25;26;0;0;6370
4322004;2;2;0;235;15;15;12;2;165;19;38;38;0;0;26816
4322103;0;0;0;21;4;1;3;0;26;5;1;4;0;0;5955
4322152;1;1;0;21;4;2;1;0;17;1;1;1;0;0;4211
4322186;0;0;0;7;5;0;0;0;7;5;0;0;0;0;1493
4322202;1;1;1;183;5;5;9;3;120;17;16;15;1;0;21380
4322251;0;0;0;12;1;1;0;0;35;1;9;4;0;0;5263
4322301;1;1;0;35;3;5;3;0;28;4;8;12;0;0;8637
4322327;0;0;0;15;5;1;2;0;16;2;13;2;0;0;3599
4322343;0;0;0;3;0;0;0;0;2;0;0;0;0;0;2171
4322350;0;0;0;3;0;0;0;0;5;1;0;0;0;0;1402
4322376;0;0;0;12;9;0;0;0;8;3;1;0;0;0;2244
4322400;26;27;2;1185;60;53;221;3;591;50;211;205;2;0;117297
4322509;23;26;1;975;20;40;117;8;391;74;180;91;1;0;67543
4322533;3;3;0;44;9;5;2;3;46;6;6;3;0;0;10982
4322541;1;1;0;15;0;1;2;1;35;2;19;1;0;0;6111
4322525;1;1;0;24;6;0;1;0;7;1;1;0;0;0;3367
4322558;0;0;0;6;0;1;0;0;9;2;1;2;0;0;2141
4322608;12;12;0;913;15;45;65;4;377;22;42;74;0;0;70904
4322707;2;2;0;163;7;12;12;3;176;7;15;12;0;0;26639
4322806;1;1;0;67;3;9;5;1;142;15;74;62;0;0;25800
4322855;0;0;0;10;0;0;3;1;10;0;1;0;0;0;1970
4322905;1;1;0;35;1;2;0;0;18;3;5;3;0;0;5052
4323002;40;42;2;2140;60;145;1367;212;1723;99;155;266;2;1;235638
4323101;3;3;0;17;0;2;2;0;8;11;0;1;0;0;5087
4323200;0;0;0;16;0;0;5;0;13;3;1;1;0;0;3102
4323309;0;0;0;14;1;1;0;1;8;0;7;1;0;0;3593
4323358;0;0;0;15;1;2;0;0;5;1;0;0;0;0;2130
4323408;0;0;0;33;13;5;1;0;18;2;15;0;0;0;4665
4323457;0;0;0;65;16;3;2;0;20;1;3;0;0;0;4117
4323507;0;0;0;9;3;1;2;1;8;2;0;1;0;0;2827
4323606;0;0;0;3;0;0;0;0;8;3;0;0;0;0;1746
4323705;1;1;0;11;0;0;0;0;6;2;0;0;0;0;3002
4323754;0;0;0;20;3;0;0;0;7;1;4;0;0;0;3405
4323770;0;0;0;10;2;1;0;0;20;1;1;0;0;0;3257
4323804;4;4;0;494;2;11;24;0;231;5;57;50;0;0;16744
