municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,cluster
CRISTAL DO SUL,0,0,0,11,2,0,0,0,12,3,0,0,0,0,0,0
CRUZ ALTA,15,15,0,669,12,28,83,2,576,76,102,113,0,0,15,0
CRUZALTENSE,0,0,0,13,1,0,3,0,2,0,0,0,0,0,0,0
CRUZEIRO DO SUL,2,2,0,90,6,4,2,0,60,1,7,3,0,0,4,0
DAVID CANABARRO,0,0,0,21,4,1,0,0,26,0,0,1,0,0,0,0
DERRUBADAS,0,0,0,10,1,1,0,0,6,5,1,0,0,0,0,0
DEZESSEIS DE NOVEMBRO,0,0,0,10,2,0,0,0,9,0,2,2,0,0,0,0
DILERMANDO DE AGUIAR,0,0,0,39,25,0,2,0,9,5,0,0,0,0,0,0
DOIS IRMAOS,1,1,0,152,3,8,13,1,284,7,60,34,0,0,3,0
DOIS IRMAOS DAS MISSOES,0,0,0,7,2,0,0,0,6,0,0,0,0,0,0,0
DOIS LAJEADOS,0,0,0,16,1,1,0,1,13,2,0,0,0,0,0,0
DOM FELICIANO,1,1,1,123,25,5,5,1,47,12,2,5,1,0,2,0
DOM PEDRITO,5,5,0,370,64,13,44,4,148,32,75,58,0,0,6,0
DOM PEDRO DE ALCANTARA,1,1,0,9,1,3,0,0,5,0,0,0,0,0,1,0
DONA FRANCISCA,0,0,0,30,2,2,1,0,20,1,0,2,0,0,0,0
DOUTOR RICARDO,0,0,0,10,0,0,0,0,4,3,3,0,0,0,0,0
DR MAURICIO CARDOSO,0,0,0,30,2,0,0,0,24,6,1,0,0,0,1,0
ELDORADO DO SUL,9,10,0,415,12,21,102,3,416,16,163,99,0,0,10,0
ENCANTADO,5,5,1,402,3,16,13,2,166,7,78,25,1,0,7,0
ENCRUZILHADA DO SUL,6,6,0,165,41,10,27,0,98,33,20,16,0,0,8,0
ENGENHO VELHO,0,0,0,5,1,1,0,0,2,0,0,2,0,0,0,0
ENTRE IJUIS,1,1,0,71,6,3,6,0,26,11,5,5,0,0,1,0
ENTRE RIOS DO SUL,0,0,0,19,0,0,2,0,10,2,3,2,0,0,0,0
EREBANGO,0,0,0,26,0,0,0,0,13,4,4,1,0,0,0,0
