municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
encantado;4306809;0;0;0;32;1;0;0;0;15;0;7;2;0;0;0
encruzilhada do sul;4306908;0;0;0;16;1;0;4;0;8;2;1;0;0;0;0
engenho velho;4306924;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
entre ijuis;4306957;0;0;0;7;0;0;0;0;3;0;1;0;0;0;0
entre rios do sul;4306932;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
erebango;4306973;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
erechim;4307005;2;2;0;92;0;3;10;0;101;25;35;16;0;0;3
ernestina;4307054;0;0;0;2;1;0;0;1;2;0;0;0;0;0;0
erval grande;4307203;0;0;0;4;0;0;0;0;1;0;2;0;0;0;0
erval seco;4307302;0;0;0;2;0;0;0;0;1;2;2;2;0;0;0
esmeralda;4307401;0;0;0;5;0;0;0;0;0;2;1;0;0;0;0
esperanca do sul;4307450;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0
espumoso;4307500;0;0;0;11;2;0;1;0;9;1;0;0;0;0;0
estacao;4307559;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0
estancia velha;4307609;0;0;0;45;0;4;4;3;9;3;1;1;0;0;0
esteio;4307708;1;1;0;93;0;1;27;2;82;1;11;13;0;0;1
estrela;4307807;0;0;0;28;0;0;3;1;15;3;6;3;0;1;1
estrela velha;4307815;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0
eugenio de castro;4307831;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0
fagundes varela;4307864;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
farroupilha;4307906;4;4;0;55;0;4;5;5;87;2;10;13;0;0;4
faxinal do soturno;4308003;0;0;0;3;0;0;0;0;3;2;0;0;0;0;0
faxinalzinho;4308052;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0
fazenda vila nova;4308078;0;0;0;6;0;0;0;0;2;0;1;1;0;0;0
feliz;4308102;0;0;0;15;0;2;0;0;14;0;4;1;0;0;0
flores da cunha;4308201;0;0;0;12;0;3;0;0;35;1;1;2;0;0;0
floriano peixoto;4308250;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
fontoura xavier;4308300;0;0;0;8;0;0;0;0;3;3;2;0;0;0;0
formigueiro;4308409;0;0;0;1;0;0;0;0;1;3;2;3;0;0;0
forquetinha;4308433;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
fortaleza dos valos;4308458;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
frederico westphalen;4308508;0;0;0;37;0;1;1;0;27;0;16;5;0;0;0
garibaldi;4308607;0;0;0;18;0;3;2;1;17;0;3;2;0;0;0
garruchos;4308656;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
gaurama;4308706;0;0;0;3;0;0;0;0;4;0;1;0;0;0;0
general camara;4308805;0;0;0;9;1;0;0;0;7;2;0;0;0;0;0
gentil;4308854;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
getulio vargas;4308904;1;1;0;8;0;2;1;0;16;0;1;4;0;0;1
girua;4309001;0;0;0;11;0;0;1;0;6;0;4;1;0;0;0
glorinha;4309050;0;0;0;6;2;0;1;1;7;0;2;0;0;0;0
gramado;4309100;0;0;0;32;0;0;0;0;60;2;48;9;0;0;0
gramado dos loureiros;4309126;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
gramado xavier;4309159;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
gravatai;4309209;2;2;0;205;1;27;103;13;212;7;17;26;0;0;3
guabiju;4309258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guaiba;4309308;2;3;0;53;1;4;20;2;45;6;28;7;0;0;3
guapore;4309407;0;0;0;10;0;0;1;0;27;4;7;4;0;0;0
guarani das missoes;4309506;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0
harmonia;4309555;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
herval;4307104;0;0;0;4;3;0;1;0;5;0;2;0;0;0;0
herveiras;4309571;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
horizontina;4309605;0;0;1;25;0;0;2;0;10;2;3;1;1;0;1
hulha negra;4309654;0;0;0;4;1;0;1;0;5;0;0;2;0;0;0
humaita;4309704;0;0;0;1;0;1;0;0;2;1;0;0;0;0;0
ibarama;4309753;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
ibiaca;4309803;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0
ibiraiaras;4309902;0;0;0;3;0;0;0;0;1;1;1;0;0;0;0
ibirapuita;4309951;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
ibiruba;4310009;0;0;0;13;1;1;0;0;19;1;4;12;0;0;0
igrejinha;4310108;0;0;0;30;1;2;6;0;14;0;12;0;0;0;0
ijui;4310207;0;0;0;115;1;5;3;0;54;2;13;6;0;0;0
ilopolis;4310306;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0
imbe;4310330;0;0;0;47;0;2;2;0;40;2;4;4;0;0;0
imigrante;4310363;0;0;0;3;0;0;0;0;2;1;0;0;0;0;0
independencia;4310405;0;0;0;5;0;0;0;0;2;2;0;0;0;0;0
inhacora;4310413;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0
ipe;4310439;0;0;0;8;1;0;0;0;4;0;0;0;0;0;0
ipiranga do sul;4310462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
irai;4310504;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0
itaara;4310538;0;0;0;3;0;0;2;1;5;0;1;0;0;0;0
itacurubi;4310553;0;0;0;3;0;0;0;0;2;2;0;0;0;0;0
itapuca;4310579;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
itaqui;4310603;0;0;0;35;2;1;3;0;23;1;4;3;0;0;0
