municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
arroio grande;4301305;1;1;0;132;24;4;9;0;51;8;23;26;0;0;1;-32.2327;-53.08619999999;18860;18671;18616;18440;18237;18193;18114;18132;18013;17798;17519;17369;5.757383844780931;5.757383844780931;0.0;759.9746675110829;138.17721227474237;23.029535379123725;51.81645460302838;0.0;293.6265760838275;46.05907075824745;132.41982842996143;149.69197996430424;0.0;0.0;5.757383844780931
arvorezinha;4301404;2;2;0;45;1;7;5;0;6;7;13;6;0;0;2;-28.87369999999;-52.1781;10436;10480;10485;10258;10150;10118;10221;10253;10317;10293;10409;10547;18.962738219398883;18.962738219398883;0.0;426.6616099364748;9.481369109699441;66.36958376789609;47.4068455484972;0.0;56.888214658196645;66.36958376789609;123.25779842609272;56.888214658196645;0.0;0.0;18.962738219398883
augusto pestana;4301503;0;0;0;21;0;2;0;2;55;4;0;0;0;0;0;-28.51729999999;-53.9883;7226;7080;6900;6935;7031;7211;7249;7333;7462;7490;7507;7490;0.0;0.0;0.0;280.3738317757009;0.0;26.7022696929239;0.0;26.7022696929239;734.3124165554071;53.4045393858478;0.0;0.0;0.0;0.0;0.0
aurea;4301552;0;0;0;17;0;0;0;0;24;2;1;0;0;0;0;-27.6936;-52.0505;3738;3752;3707;3756;3775;3774;3728;3645;3676;3707;3730;3723;0.0;0.0;0.0;456.62100456621005;0.0;0.0;0.0;0.0;644.64141821112;53.72011818426001;26.860059092130005;0.0;0.0;0.0;0.0
bage;4301602;9;9;0;1233;85;43;206;2;866;71;185;177;0;1;12;-31.32969999999;-54.09989999999;119252;119469;119816;119444;118983;118682;119056;119539;120104;121069;121233;121321;7.4183364792575075;7.4183364792575075;0.0;1016.3120976582785;70.06206674854312;35.44316317867475;169.79747941411625;1.6485192176127794;713.8088212263334;58.52243222525367;152.48802762918208;145.89395075873097;0.0;0.8242596088063897;9.891115305676676
balneario pinhal;4301636;5;6;1;225;1;7;28;2;128;8;29;12;1;0;8;-30.2419;-50.2336;11090;11237;11392;11766;12099;12474;12674;12938;13216;13416;13674;13852;36.09587063239966;43.31504475887958;7.219174126479931;1624.3141784579846;7.219174126479931;50.53421888535952;202.1368755414381;14.438348252959862;924.0542881894312;57.75339301183945;209.356049667918;86.63008951775916;7.219174126479931;0.0;57.75339301183945
barao;4301651;0;0;0;21;0;1;4;0;68;2;1;0;0;0;0;-29.3725;-51.4949;5853;5803;6022;6082;6321;6387;6508;6470;6591;6684;6662;6622;0.0;0.0;0.0;317.1247357293869;0.0;15.101177891875567;60.40471156750227;0.0;1026.8800966475385;30.202355783751134;15.101177891875567;0.0;0.0;0.0;0.0
barao de cotegipe;4301701;0;0;0;28;3;1;0;0;39;1;2;4;0;0;1;-27.62079999999;-52.3798;6658;6608;6684;6688;6753;6752;6924;6922;6916;6808;6773;6839;0.0;0.0;0.0;409.41658137154553;43.866062289808454;14.622020763269482;0.0;0.0;570.2588097675099;14.622020763269482;29.244041526538965;58.48808305307793;0.0;0.0;14.622020763269482
barao do triunfo;4301750;0;0;0;36;7;2;4;0;12;9;2;1;0;0;0;-30.38909999999;-51.73839999999;7173;7168;7134;7082;7070;6975;6977;7007;7019;6836;6647;6554;0.0;0.0;0.0;549.282880683552;106.80500457735734;30.51571559353067;61.03143118706134;0.0;183.094293561184;137.320720170888;30.51571559353067;15.257857796765334;0.0;0.0;0.0
barra do guarita;4301859;0;0;0;17;2;2;0;0;13;6;1;5;0;0;0;-27.19269999999;-53.7109;3156;3143;3168;3198;3205;3228;3248;3310;3327;3359;3399;3489;0.0;0.0;0.0;487.24562912009173;57.32301519059903;57.32301519059903;0.0;0.0;372.5995987388937;171.96904557179707;28.661507595299515;143.30753797649754;0.0;0.0;0.0
barra do quarai;4301875;0;0;0;21;4;0;1;0;17;0;14;4;0;0;0;-30.2029;-57.5497;4102;4025;3998;3902;3902;3893;3984;4134;4273;4274;4217;4180;0.0;0.0;0.0;502.39234449760767;95.69377990430623;0.0;23.923444976076556;0.0;406.6985645933014;0.0;334.9282296650718;95.69377990430623;0.0;0.0;0.0
barra do ribeiro;4301909;3;3;0;97;14;3;7;1;93;9;34;14;0;0;3;-30.2939;-51.3014;12838;12850;12863;12992;12924;13089;13179;13456;13442;13435;13212;13260;22.624434389140273;22.624434389140273;0.0;731.5233785822021;105.58069381598793;22.624434389140273;52.790346907993964;7.541478129713425;701.3574660633484;67.87330316742081;256.4102564102564;105.58069381598793;0.0;0.0;22.624434389140273
barra do rio azul;4301925;0;0;0;7;0;0;0;0;5;0;0;0;0;0;0;-27.4068;-52.4084;2039;2003;1962;1940;1904;1869;1828;1830;1824;1844;1804;1778;0.0;0.0;0.0;393.7007874015748;0.0;0.0;0.0;0.0;281.214848143982;0.0;0.0;0.0;0.0;0.0;0.0
barra funda;4301958;0;0;0;6;0;2;0;1;5;2;0;0;0;0;0;-27.9205;-53.03909999999;2409;2398;2439;2413;2449;2459;2547;2571;2621;2634;2670;2704;0.0;0.0;0.0;221.89349112426035;0.0;73.96449704142012;0.0;36.98224852071006;184.91124260355028;73.96449704142012;0.0;0.0;0.0;0.0;0.0
barracao;4301800;1;1;0;47;15;0;2;0;20;7;6;3;0;0;1;-27.6739;-51.45859999999;5466;5432;5353;5264;5141;5174;5097;5092;5013;5121;5066;5089;19.650225977598744;19.650225977598744;0.0;923.5606209471409;294.7533896639811;0.0;39.30045195519749;0.0;393.0045195519749;137.5515818431912;117.90135586559245;58.950677932796225;0.0;0.0;19.650225977598744
barros cassal;4302006;2;2;0;91;15;5;5;0;4;5;18;0;0;0;2;-29.0947;-52.58359999999;11379;11229;11165;11046;10919;10865;10681;10624;10542;10494;10512;10455;19.12960306073649;19.12960306073649;0.0;870.3969392635103;143.47202295552367;47.82400765184123;47.82400765184123;0.0;38.25920612147298;47.82400765184123;172.1664275466284;0.0;0.0;0.0;19.12960306073649
